Value,Disaggregation combinations using this value,Number of indicators
Clarendon,7,1
Greater Kingston Metropolitan Area (GKMA),1,1
Greater Kingston Metropolitan Area,3,1
Hanover,7,1
Jamaica,22,5
Kingston & St Andrew,7,1
Manchester,7,1
Other Urban Centre,3,1
Other Urban Centres,1,1
Portland,7,1
Rural Area,1,1
Rural,3,1
St Ann,7,1
St Catherine,7,1
St Elizabeth,7,1
St James,7,1
St Mary,7,1
St Thomas,7,1
Trelawny,7,1
Westmoreland,7,1
