Value,Disaggregation combinations using this value,Number of indicators
Clarendon,1,1
Female,7,2
GKMA,18,5
Hanover,1,1
Jamaica,144,28
Kingston,1,1
KMA,5,4
Male,7,2
Manchester,1,1
Other Towns,4,4
Other Urban cenntre,1,1
Other Urban centre,2,2
Other Urban Centre,15,2
Portland,1,1
Rural Area,14,5
Rural,28,6
St Andrew,1,1
St Ann,1,1
St. Catherine,1,1
St Elizabeth,1,1
St James,1,1
St Mary,1,1
St Thomas,1,1
Total,11,1
Trelawny,1,1
Urban,21,3
Westmoreland,1,1
