Value,Disaggregation combinations using this value,Number of indicators
GKMA,3,3
Jamaica,3,3
KMA,1,1
Other Urban centre,1,1
Other Urban Centre,1,1
Other Urban Centres,1,1
Others Towns,1,1
Rural Areas,3,3
